negative,hide new secretions from the parental units
negative,"contains no wit , only labored gags "
positive,that loves its characters and communicates something rather beautiful about human nature 
negative,remains utterly satisfied to remain the same throughout 
negative,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up 
negative,that 's far too tragic to merit such superficial treatment 
positive,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . "
positive,of saucy 
negative,a depressed fifteen-year-old 's suicidal poetry 
positive,are more deeply thought through than in most ` right-thinking ' films 
negative,goes to absurd lengths 
negative,for those moviegoers who complain that ` they do n't make movies like they used to anymore 
negative,"the part where nothing 's happening , "
negative,saw how bad this movie was 
negative,lend some dignity to a dumb story 
positive,the greatest musicians 
negative,cold movie 
positive,with his usual intelligence and subtlety 
negative,redundant concept 
positive,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . "
positive,equals the original and in some ways even betters it 
positive,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . "
positive,a smile on your face 
positive,"comes from the brave , uninhibited performances "
negative,excruciatingly unfunny and pitifully unromantic 
positive,enriched by an imaginatively mixed cast of antic spirits 
negative,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening "
positive,in world cinema 
positive,very good viewing alternative 
negative,"the plot is nothing but boilerplate clichés from start to finish , "
negative,the action is stilted 
positive,on all cylinders 
negative,"will find little of interest in this film , which is often preachy and poorly acted "
negative,by far the worst movie of the year 
negative,"sit through , "
positive,more than another `` best man '' clone by weaving a theme throughout this funny film 
positive,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline 
positive,heroes 
negative,oblivious to the existence of this film 
positive,sharply 
negative,"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . "
negative,sometimes dry 
negative,"as they come , already having been recycled more times than i 'd care to count "
positive,"covers this territory with wit and originality , suggesting that with his fourth feature "
negative,a $ 40 million version of a game 
positive,gorgeous and deceptively minimalist 
positive,cross swords with the best of them and 
negative,as a fringe feminist conspiracy theorist 
positive,"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . "
negative,disappointments 
